model,experiment,member,status,missing_variables,ambiguous_variables,tas_path,tas_table,tas_grid,tas_period,rsdt_path,rsdt_table,rsdt_grid,rsdt_period,rlut_path,rlut_table,rlut_grid,rlut_period,rsut_path,rsut_table,rsut_grid,rsut_period
MIROC6,ssp245,r44i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r44i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r44i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r44i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r44i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r44i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r44i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r44i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r44i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r45i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r45i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r45i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r45i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r45i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r45i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r45i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r45i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r45i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r46i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r46i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r46i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r46i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r46i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r46i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r46i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r46i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r46i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r47i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r47i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r47i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r47i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r47i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r47i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r47i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r47i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r47i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r48i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r48i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r48i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r48i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r48i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r48i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r48i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r48i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r48i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r49i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r49i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r49i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r49i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r49i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r49i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r49i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r49i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r49i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r4i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r4i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r4i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r4i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r4i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r4i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r4i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r4i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r4i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r50i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r50i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r50i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r50i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r50i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r50i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r50i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r50i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r50i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r5i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r5i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r5i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r5i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r5i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r5i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r5i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r5i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r5i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
MIROC6,ssp245,r6i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r6i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/tas_Amon_MIROC6_ssp245_r6i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r6i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsdt_Amon_MIROC6_ssp245_r6i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r6i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rlut_Amon_MIROC6_ssp245_r6i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012,./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r6i1p1f1_gn_201501-203912.nc;./MIROC6/ssp245/rsut_Amon_MIROC6_ssp245_r6i1p1f1_gn_204001-210012.nc,Amon;Amon,gn;gn,201501-203912;204001-210012
