model,experiment,member,status,missing_variables,ambiguous_variables,tas_path,tas_table,tas_grid,tas_period,rsdt_path,rsdt_table,rsdt_grid,rsdt_period,rlut_path,rlut_table,rlut_grid,rlut_period,rsut_path,rsut_table,rsut_grid,rsut_period
BCC-CSM2-MR,amip-hist,r1i1p1f1,complete,,,./BCC-CSM2-MR/amip-hist/tas_Amon_BCC-CSM2-MR_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./BCC-CSM2-MR/amip-hist/rsdt_Amon_BCC-CSM2-MR_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./BCC-CSM2-MR/amip-hist/rlut_Amon_BCC-CSM2-MR_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./BCC-CSM2-MR/amip-hist/rsut_Amon_BCC-CSM2-MR_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412
CAMS-CSM1-0,amip-hist,r1i1p1f1,complete,,,./CAMS-CSM1-0/amip-hist/tas_Amon_CAMS-CSM1-0_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsdt_Amon_CAMS-CSM1-0_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rlut_Amon_CAMS-CSM1-0_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsut_Amon_CAMS-CSM1-0_amip-hist_r1i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412
CAMS-CSM1-0,amip-hist,r2i1p1f1,complete,,,./CAMS-CSM1-0/amip-hist/tas_Amon_CAMS-CSM1-0_amip-hist_r2i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsdt_Amon_CAMS-CSM1-0_amip-hist_r2i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rlut_Amon_CAMS-CSM1-0_amip-hist_r2i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsut_Amon_CAMS-CSM1-0_amip-hist_r2i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412
CAMS-CSM1-0,amip-hist,r3i1p1f1,complete,,,./CAMS-CSM1-0/amip-hist/tas_Amon_CAMS-CSM1-0_amip-hist_r3i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsdt_Amon_CAMS-CSM1-0_amip-hist_r3i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rlut_Amon_CAMS-CSM1-0_amip-hist_r3i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412,./CAMS-CSM1-0/amip-hist/rsut_Amon_CAMS-CSM1-0_amip-hist_r3i1p1f1_gn_187001-201412.nc,Amon,gn,187001-201412
CESM2,amip-hist,r1i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r1i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r1i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r1i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r1i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412
CESM2,amip-hist,r2i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r2i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r2i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r2i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r2i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r2i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r2i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r2i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r2i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r2i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r2i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r2i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r2i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412
CESM2,amip-hist,r3i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r3i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r3i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/tas_Amon_CESM2_amip-hist_r3i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r3i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r3i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsdt_Amon_CESM2_amip-hist_r3i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r3i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r3i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rlut_Amon_CESM2_amip-hist_r3i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412,./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r3i1p1f1_gn_187001-191912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r3i1p1f1_gn_192001-196912.nc;./CESM2/amip-hist/rsut_Amon_CESM2_amip-hist_r3i1p1f1_gn_197001-201412.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201412
CESM2,amip-piForcing,r1i1p1f1,ambiguous,,tas;rsdt;rlut;rsut,./CESM2/amip-piForcing/tas_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-piForcing/tas_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-piForcing/tas_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_197001-201512.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201512,./CESM2/amip-piForcing/rsdt_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-piForcing/rsdt_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-piForcing/rsdt_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_197001-201512.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201512,./CESM2/amip-piForcing/rlut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-piForcing/rlut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-piForcing/rlut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_197001-201512.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201512,./CESM2/amip-piForcing/rsut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_187001-191912.nc;./CESM2/amip-piForcing/rsut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_192001-196912.nc;./CESM2/amip-piForcing/rsut_Amon_CESM2_amip-piForcing_r1i1p1f1_gn_197001-201512.nc,Amon;Amon;Amon,gn;gn;gn,187001-191912;192001-196912;197001-201512
CIESM,amip-hist,r1i1p1f1,complete,,,./CIESM/amip-hist/tas_Amon_CIESM_amip-hist_r1i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsdt_Amon_CIESM_amip-hist_r1i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rlut_Amon_CIESM_amip-hist_r1i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsut_Amon_CIESM_amip-hist_r1i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412
CIESM,amip-hist,r2i1p1f1,complete,,,./CIESM/amip-hist/tas_Amon_CIESM_amip-hist_r2i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsdt_Amon_CIESM_amip-hist_r2i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rlut_Amon_CIESM_amip-hist_r2i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsut_Amon_CIESM_amip-hist_r2i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412
CIESM,amip-hist,r3i1p1f1,complete,,,./CIESM/amip-hist/tas_Amon_CIESM_amip-hist_r3i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsdt_Amon_CIESM_amip-hist_r3i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rlut_Amon_CIESM_amip-hist_r3i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412,./CIESM/amip-hist/rsut_Amon_CIESM_amip-hist_r3i1p1f1_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r10i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r10i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r10i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r10i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r10i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r1i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r2i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r2i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r2i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r2i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r2i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r3i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r3i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r3i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r3i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r3i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r4i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r4i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r4i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r4i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r4i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r5i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r5i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r5i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r5i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r5i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r6i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r6i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r6i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r6i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r6i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r7i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r7i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r7i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r7i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r7i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r8i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r8i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r8i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r8i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r8i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-hist,r9i1p1f2,complete,,,./CNRM-CM6-1/amip-hist/tas_Amon_CNRM-CM6-1_amip-hist_r9i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsdt_Amon_CNRM-CM6-1_amip-hist_r9i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rlut_Amon_CNRM-CM6-1_amip-hist_r9i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-hist/rsut_Amon_CNRM-CM6-1_amip-hist_r9i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,amip-piForcing,r1i1p1f2,complete,,,./CNRM-CM6-1/amip-piForcing/tas_Amon_CNRM-CM6-1_amip-piForcing_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-piForcing/rsdt_Amon_CNRM-CM6-1_amip-piForcing_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-piForcing/rlut_Amon_CNRM-CM6-1_amip-piForcing_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412,./CNRM-CM6-1/amip-piForcing/rsut_Amon_CNRM-CM6-1_amip-piForcing_r1i1p1f2_gr_187001-201412.nc,Amon,gr,187001-201412
CNRM-CM6-1,historical,r10i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r10i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r10i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r10i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r10i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r11i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r11i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r11i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r11i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r11i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r12i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r12i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r12i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r12i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r12i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r13i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r13i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r13i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r13i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r13i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r14i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r14i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r14i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r14i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r14i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r15i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r15i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r15i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r15i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r15i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r16i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r16i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r16i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r16i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r16i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r17i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r17i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r17i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r17i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r17i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r18i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r18i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r18i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r18i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r18i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r19i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r19i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r19i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r19i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r19i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r1i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r1i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r1i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r1i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r1i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r20i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r20i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r20i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r20i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r20i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r21i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r21i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r21i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r21i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r21i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
CNRM-CM6-1,historical,r22i1p1f2,complete,,,./CNRM-CM6-1/historical/tas_Amon_CNRM-CM6-1_historical_r22i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsdt_Amon_CNRM-CM6-1_historical_r22i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rlut_Amon_CNRM-CM6-1_historical_r22i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412,./CNRM-CM6-1/historical/rsut_Amon_CNRM-CM6-1_historical_r22i1p1f2_gr_185001-201412.nc,Amon,gr,185001-201412
